Youtuber,Id,Uploads,Subscribers,Video Views,Country,Account Created
Amulya's Academy,@amulsacademy,447,183K,18108126,India,"Apr 2nd, 2016"
Code With Tomi,@CodeWithTomi,162,21.8K,643925,United Kingdom,"Jul 21st, 2020"
Caleb Curry,@codebreakthrough,1600,532K,41647265,United States,"Jul 19th, 2009"
Part Time Larry,@parttimelarry,174,83.9K,4920500,United States,"Jul 29th, 2019"
Code Bear,@thecodebear,221,6.42K,731397,United States,"May 21st, 2018"
John Watson Rooney,@JohnWatsonRooney,209,45.9K,3816930,United Kingdom,"Oct 31st, 2019"
Python Simplified,@PythonSimplified,124,159K,5925946,United States,"Jan 25th, 2019"
Pythonology,@Pythonology,102,7.23K,415820,Netherlands,"Nov 20th, 2020"
Jovian,@jovianhq,145,37.1K,1436509,India,"Oct 12th, 2018"
Indian AI Production,@IndianAIProduction,422,41.5K,4827170,India,"Jun 1st, 2019"
